,Sr No,Age,Income,Education,Occupation,Electricity,Radio,TV,Internet,Mobile,Landline,Newspaper,Listen to Radio,AIR,Pvt,CRS,Communicate with Radio,Mode of Communication,Frequency of communication,Enough programmes,Radio Content Request, CR Listener,CR Content Consumption,Reason for choice of handset,Most Important Feature & Why,Locali Music,Bollywood Music,Pornography,Bollywood Video,Local Video,Still Images,Full Length Film,Ringtones,other,Source of Content,Recharge,Service Provider,Local Mobile,Anytime Listening,Legacy,Copy of programme,Anytime participation
36,37.0,Less than 25,0-5000,,G,8-12hrs,X,X,,,,,Yes,,,X,YES,B,A,Yes,,YES,A,Good sound quality,Listenining to songs,,X,,,,X,,,,A,X,,,X,,,
37,38.0,Less than 25,0-5000,A,G,8-12hrs,,X,,,,,Yes,,,X,No,,,Yes,,YES,A,,,,,,,,,,,,,,,,X,,,
38,39.0,40-60,"5-10,000",E,E,8-12hrs,,X,,,,,Yes,,X,,No,,,Yes,,YES,A,,Voice calls,,,,,,,,,,,X,,,X,,,
39,40.0,25-40,"5-10,000",D,G,8-12hrs,,X,,,,,No,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
40,41.0,40-60,"5-10,000",D,A,4-8HRS,,X,,,,,NO,,,,,,,,,,,Reasonable,Voice calls,,,,,,,,,,,,,,,,,
41,42.0,25-40,0-5000,E,K,8-12hrs,,X,,,,,NO,,,,,,,,,,,Liked the handset,Games,,,,,,,,,,,X,,,X,,,
42,43.0,25-40,0-5000,E,H,8-12hrs,,X,,,,,Yes,,X,,NO,,,YES,,NO,,Best handset in 3k,battery back up & dual sim,X,X,,,,X,,,,A,X,,,,,,
43,44.0,Above 60,"5-10,000",D,A,8-12hrs,,X,,,,,NO,,,,,,,,,,,small & good battery,battery back up,,,,,,,,,,,X,,,X,,,
44,45.0,40-60,0-5000,A,B,8-12hrs,,X,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46.0,Less than 25,0-5000,E,H,8-12hrs,X,X,,,,,Yes,,X,X,NO,,,YES,,,I,brand,"music player, net ",,X,,,,X,,,,A,X,,,,,X,
46,47.0,40-60,"5-10,000",C,G,8-12hrs,,X,,,,,Yes,,X,X,NO,,,YES,,YES,A,"brand, Looks","MUsic player,",X,,,,,,,,,B,X,,,X,,,
47,48.0,25-40,0-5000,D,E,8-12hrs,,,,X,,,NO,,,,,,,,,,,"Brand, touch screen, batteru, games ",music player & games,,X,,,,X,,,,A,X,,,,,X,
48,49.0,40-60,0-5000,E,G,8-12hrs,,X,,,,,No,,,,,,,,,,,good battery & compoany handset,good battery & torch,,,,,,,,X,,,X,,,X,,,
49,50.0,40-60,"5-10,000",A,A,8-12hrs,,X,,,,,NO,,,,,,,,,,,reasonable,"easy to use, small ",,,,,,,,,,,X,,,,,,
